rr,dev000,100,0.05,50,topic/1
rr,dev001,100,0.05,50,topic/0,topic/1
rr,dev002,100,0.05,50,topic/1,topic/2,topic/4
rr,dev003,100,0.05,50,topic/2,topic/3
rr,dev004,100,0.05,50,topic/0,topic/2,topic/4
rr,dev005,100,0.05,50,topic/0,topic/1,topic/2,topic/3,topic/4
rr,dev006,100,0.05,50,topic/2,topic/3
rr,dev007,100,0.05,50,topic/0,topic/4
rr,dev008,100,0.05,50,topic/1,topic/2
rr,dev009,100,0.05,50,topic/1,topic/2,topic/4
rr,dev0010,100,0.05,50,topic/1,topic/3
rr,dev0011,100,0.05,50,topic/0,topic/1,topic/2,topic/3
rr,dev0012,100,0.05,50,topic/0,topic/1,topic/2,topic/4
rr,dev0013,100,0.05,50,topic/3
rr,dev0014,100,0.05,50,topic/0,topic/1,topic/2,topic/3
rr,dev0015,100,0.05,50,topic/1
rr,dev0016,100,0.05,50,topic/2
rr,dev0017,100,0.05,50,topic/0,topic/2,topic/3,topic/4
rr,dev0018,100,0.05,50,topic/0,topic/1,topic/2,topic/3
rr,dev0019,100,0.05,50,topic/0,topic/3
