MQTT,dev000,100,0.05,50,topic/0,topic/2
MQTT,dev001,100,0.05,50,topic/3,topic/5,topic/7
MQTT,dev002,100,0.05,50,topic/0,topic/9,topic/3
MQTT,dev003,100,0.05,50,topic/9,topic/6
MQTT,dev004,100,0.05,50,topic/2,topic/3,topic/4,topic/5,topic/6,topic/8,topic/9
MQTT,dev005,100,0.05,50,topic/0,topic/1,topic/2,topic/3,topic/5,topic/6,topic/7,topic/8
MQTT,dev006,100,0.05,50,topic/0,topic/1,topic/2,topic/3,topic/5,topic/6,topic/7,topic/8,topic/9
MQTT,dev007,100,0.05,50,topic/8,topic/3,topic/4
MQTT,dev008,100,0.05,50,topic/3,topic/4,topic/5,topic/6
MQTT,dev009,100,0.05,50,topic/0,topic/1,topic/2,topic/4,topic/5,topic/6,topic/8,topic/9
MQTT,dev0010,100,0.05,50,topic/0,topic/1,topic/2,topic/3,topic/4,topic/5,topic/6,topic/7,topic/8,topic/9
MQTT,dev0011,100,0.05,50,topic/8,topic/9,topic/4
MQTT,dev0012,100,0.05,50,topic/0,topic/1,topic/3,topic/4,topic/6,topic/7,topic/8,topic/9
MQTT,dev0013,100,0.05,50,topic/0,topic/7
MQTT,dev0014,100,0.05,50,topic/1,topic/3,topic/6,topic/8,topic/9
MQTT,dev0015,100,0.05,50,topic/2,topic/3,topic/4,topic/6,topic/7,topic/8,topic/9
MQTT,dev0016,100,0.05,50,topic/0,topic/1,topic/2,topic/3,topic/4,topic/5,topic/6,topic/7,topic/8,topic/9
MQTT,dev0017,100,0.05,50,topic/8,topic/5,topic/6
MQTT,dev0018,100,0.05,50,topic/1,topic/3,topic/4,topic/5,topic/6,topic/9
MQTT,dev0019,100,0.05,50,topic/1,topic/2,topic/9,topic/6
MQTT,dev0020,100,0.05,50,topic/0,topic/1,topic/2,topic/3,topic/4,topic/5,topic/6,topic/7,topic/8,topic/9
MQTT,dev0021,100,0.05,50,topic/9,topic/5,topic/1
MQTT,dev0022,100,0.05,50,topic/0,topic/1,topic/2,topic/4,topic/5,topic/6,topic/7,topic/8,topic/9
MQTT,dev0023,100,0.05,50,topic/0,topic/3,topic/7,topic/8,topic/9
MQTT,dev0024,100,0.05,50,topic/0,topic/1,topic/2,topic/3,topic/4,topic/5,topic/6,topic/7,topic/8,topic/9
MQTT,dev0025,100,0.05,50,topic/1,topic/2,topic/4,topic/5
MQTT,dev0026,100,0.05,50,topic/2,topic/4,topic/6,topic/7
MQTT,dev0027,100,0.05,50,topic/8,topic/5,topic/7
MQTT,dev0028,100,0.05,50,topic/9,topic/4,topic/1,topic/6
MQTT,dev0029,100,0.05,50,topic/1,topic/6
MQTT,dev0030,100,0.05,50,topic/0,topic/1,topic/4,topic/5,topic/6,topic/7,topic/8,topic/9
MQTT,dev0031,100,0.05,50,topic/5,topic/7
MQTT,dev0032,100,0.05,50,topic/0,topic/1,topic/3,topic/4,topic/5,topic/6,topic/8,topic/9
MQTT,dev0033,100,0.05,50,topic/2,topic/3,topic/5,topic/6,topic/7,topic/8
MQTT,dev0034,100,0.05,50,topic/0
MQTT,dev0035,100,0.05,50,topic/8,topic/9,topic/4,topic/0
MQTT,dev0036,100,0.05,50,topic/1,topic/4,topic/5,topic/6,topic/7,topic/9
MQTT,dev0037,100,0.05,50,topic/0,topic/2,topic/4,topic/6,topic/9
MQTT,dev0038,100,0.05,50,topic/0,topic/2,topic/3,topic/4,topic/6,topic/9
MQTT,dev0039,100,0.05,50,topic/0,topic/1,topic/2,topic/3,topic/5,topic/8
MQTT,dev0040,100,0.05,50,topic/9
MQTT,dev0041,100,0.05,50,topic/1,topic/2,topic/5,topic/6,topic/7,topic/8,topic/9
MQTT,dev0042,100,0.05,50,topic/0,topic/1,topic/2,topic/3,topic/4,topic/5,topic/7,topic/8,topic/9
MQTT,dev0043,100,0.05,50,topic/0,topic/2,topic/4,topic/6,topic/8
MQTT,dev0044,100,0.05,50,topic/0,topic/2,topic/4,topic/5,topic/6,topic/7,topic/8,topic/9
MQTT,dev0045,100,0.05,50,topic/8,topic/3,topic/6
MQTT,dev0046,100,0.05,50,topic/0,topic/1,topic/2,topic/3,topic/4,topic/5,topic/6,topic/8,topic/9
MQTT,dev0047,100,0.05,50,topic/8,topic/1,topic/4
MQTT,dev0048,100,0.05,50,topic/0,topic/4
MQTT,dev0049,100,0.05,50,topic/9,topic/6
