rr,0,8,8,8,137.4955
random,0,8,8,8,137.7755
cc,0,8,8,8,101.8855
rr,1,8,8,8,328.5365
random,1,8,8,8,275.2565
cc,1,8,8,8,227.28650000000005
rr,2,8,8,8,236.2365
random,2,8,8,8,228.6515
cc,2,8,8,8,183.5815
rr,3,8,8,8,265.4475
random,3,8,8,8,251.7225
cc,3,8,8,8,206.63750000000002
rr,4,8,8,8,116.23349999999999
random,4,8,8,8,116.0585
cc,4,8,8,8,99.20349999999999
rr,5,8,8,8,126.93200000000002
random,5,8,8,8,127.39699999999999
cc,5,8,8,8,124.53200000000001
rr,6,8,8,8,104.7285
random,6,8,8,8,104.5885
cc,6,8,8,8,84.37349999999999
rr,7,8,8,8,313.55600000000004
random,7,8,8,8,306.936
cc,7,8,8,8,201.176
rr,8,8,8,8,254.27849999999995
random,8,8,8,8,246.5135
cc,8,8,8,8,193.3935
rr,9,8,8,8,240.9625
random,9,8,8,8,232.06750000000002
cc,9,8,8,8,166.32750000000004
rr,10,8,8,8,277.582
random,10,8,8,8,253.062
cc,10,8,8,8,188.47200000000004
rr,11,8,8,8,99.5465
random,11,8,8,8,99.31649999999999
cc,11,8,8,8,84.76650000000001
rr,12,8,8,8,231.747
random,12,8,8,8,225.21700000000004
cc,12,8,8,8,221.142
rr,13,8,8,8,230.378
random,13,8,8,8,218.123
cc,13,8,8,8,164.303
rr,14,8,8,8,233.89
random,14,8,8,8,228.465
cc,14,8,8,8,194.26
rr,15,8,8,8,199.04300000000003
random,15,8,8,8,200.228
cc,15,8,8,8,171.71300000000002
rr,16,8,8,8,190.7785
random,16,8,8,8,183.9335
cc,16,8,8,8,141.7935
rr,17,8,8,8,187.86800000000002
random,17,8,8,8,177.923
cc,17,8,8,8,131.023
rr,18,8,8,8,151.09050000000002
random,18,8,8,8,150.58050000000003
cc,18,8,8,8,124.13050000000001
rr,19,8,8,8,181.5035
random,19,8,8,8,183.5335
cc,19,8,8,8,223.9635
rr,20,8,8,8,203.16200000000003
random,20,8,8,8,195.81700000000004
cc,20,8,8,8,168.612
rr,21,8,8,8,269.5915
random,21,8,8,8,259.7165
cc,21,8,8,8,180.38150000000002
rr,22,8,8,8,178.7515
random,22,8,8,8,180.0115
cc,22,8,8,8,150.62149999999997
rr,23,8,8,8,247.228
random,23,8,8,8,238.83800000000002
cc,23,8,8,8,188.303
rr,24,8,8,8,381.776
random,24,8,8,8,367.63100000000003
cc,24,8,8,8,227.246
rr,25,8,8,8,230.0265
random,25,8,8,8,226.47650000000002
cc,25,8,8,8,151.5365
rr,26,8,8,8,152.858
random,26,8,8,8,153.048
cc,26,8,8,8,123.098
rr,27,8,8,8,235.886
random,27,8,8,8,232.31599999999997
cc,27,8,8,8,187.606
rr,28,8,8,8,294.05449999999996
random,28,8,8,8,286.98949999999996
cc,28,8,8,8,196.32950000000002
rr,29,8,8,8,240.24650000000003
random,29,8,8,8,237.3965
cc,29,8,8,8,216.40649999999997
