frame.number,frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,icmp.type,icmp.code,frame.len,_ws.col.protocol,_ws.col.info
6059,Apr 21, 2024 13:25:54.979133000 EDT,127.0.0.1,127.0.0.1,1887,47285,,,,,65549,TCP,1887 → 47285 [ACK] Seq=13696857 Ack=111 Win=512 Len=65483 TSval=3720034237 TSecr=3720005238
6060,Apr 21, 2024 13:25:54.979158000 EDT,127.0.0.1,127.0.0.1,1887,47285,,,,,65549,TCP,1887 → 47285 [ACK] Seq=13762340 Ack=111 Win=512 Len=65483 TSval=3720034237 TSecr=3720005238
6061,Apr 21, 2024 13:25:54.979182000 EDT,127.0.0.1,127.0.0.1,1887,47285,,,,,65549,TCP,1887 → 47285 [ACK] Seq=13827823 Ack=111 Win=512 Len=65483 TSval=3720034238 TSecr=3720005238
6062,Apr 21, 2024 13:25:54.979207000 EDT,127.0.0.1,127.0.0.1,1887,47285,,,,,65549,TCP,1887 → 47285 [ACK] Seq=13893306 Ack=111 Win=512 Len=65483 TSval=3720034238 TSecr=3720005238
6063,Apr 21, 2024 13:25:54.979226000 EDT,127.0.0.1,127.0.0.1,1887,47285,,,,,41700,TCP,1887 → 47285 [PSH, ACK] Seq=13958789 Ack=111 Win=512 Len=41634 TSval=3720034238 TSecr=3720005238
6064,Apr 21, 2024 13:25:54.979341000 EDT,127.0.0.1,127.0.0.1,1887,34935,,,,,65549,TCP,[TCP Previous segment not captured] 1887 → 34935 [ACK] Seq=32000963 Ack=259 Win=512 Len=65483 TSval=3720034238 TSecr=3720024239
6065,Apr 21, 2024 13:25:54.979371000 EDT,127.0.0.1,127.0.0.1,1887,34935,,,,,65549,TCP,1887 → 34935 [ACK] Seq=32066446 Ack=259 Win=512 Len=65483 TSval=3720034238 TSecr=3720024239
6066,Apr 21, 2024 13:25:54.979395000 EDT,127.0.0.1,127.0.0.1,1887,34935,,,,,65549,TCP,1887 → 34935 [ACK] Seq=32131929 Ack=259 Win=512 Len=65483 TSval=3720034238 TSecr=3720024239
6067,Apr 21, 2024 13:26:03.938283000 EDT,127.0.0.1,127.0.0.1,55009,1887,,,,,65549,TCP,55009 → 1887 [ACK] Seq=28001670 Ack=243 Win=512 Len=65483 TSval=3720043197 TSecr=3720034238
6068,Apr 21, 2024 13:26:03.985419000 EDT,127.0.0.1,127.0.0.1,55009,1887,,,,,65549,TCP,55009 → 1887 [ACK] Seq=28067153 Ack=243 Win=512 Len=65483 TSval=3720043244 TSecr=3720043244
6069,Apr 21, 2024 13:26:03.985842000 EDT,127.0.0.1,127.0.0.1,55009,1887,,,,,65549,TCP,55009 → 1887 [ACK] Seq=28132636 Ack=243 Win=512 Len=65483 TSval=3720043244 TSecr=3720043244
6070,Apr 21, 2024 13:26:03.985904000 EDT,127.0.0.1,127.0.0.1,55009,1887,,,,,65549,TCP,55009 → 1887 [ACK] Seq=28198119 Ack=243 Win=512 Len=65483 TSval=3720043244 TSecr=3720043244
6071,Apr 21, 2024 13:26:03.985972000 EDT,127.0.0.1,127.0.0.1,55009,1887,,,,,65549,TCP,55009 → 1887 [ACK] Seq=28263602 Ack=243 Win=512 Len=65483 TSval=3720043244 TSecr=3720043244
6072,Apr 21, 2024 13:26:03.986023000 EDT,127.0.0.1,127.0.0.1,55009,1887,,,,,65549,TCP,55009 → 1887 [ACK] Seq=28329085 Ack=243 Win=512 Len=65483 TSval=3720043244 TSecr=3720043244
6073,Apr 21, 2024 13:26:03.986066000 EDT,127.0.0.1,127.0.0.1,55009,1887,,,,,65549,TCP,55009 → 1887 [ACK] Seq=28394568 Ack=243 Win=512 Len=65483 TSval=3720043244 TSecr=3720043244
6074,Apr 21, 2024 13:26:03.986103000 EDT,127.0.0.1,127.0.0.1,55009,1887,,,,,41700,TCP,55009 → 1887 [PSH, ACK] Seq=28460051 Ack=243 Win=512 Len=41634 TSval=3720043244 TSecr=3720043244
6075,Apr 21, 2024 13:26:03.986304000 EDT,127.0.0.1,127.0.0.1,1887,36619,,,,,65549,TCP,[TCP Previous segment not captured] 1887 → 36619 [ACK] Seq=84502538 Ack=679 Win=512 Len=65483 TSval=3720043245 TSecr=3720030240
6076,Apr 21, 2024 13:26:03.986337000 EDT,127.0.0.1,127.0.0.1,1887,36619,,,,,65549,TCP,1887 → 36619 [ACK] Seq=84568021 Ack=679 Win=512 Len=65483 TSval=3720043245 TSecr=3720030240
6077,Apr 21, 2024 13:26:03.986363000 EDT,127.0.0.1,127.0.0.1,1887,36619,,,,,65549,TCP,1887 → 36619 [ACK] Seq=84633504 Ack=679 Win=512 Len=65483 TSval=3720043245 TSecr=3720030240
6078,Apr 21, 2024 13:26:03.986388000 EDT,127.0.0.1,127.0.0.1,1887,36619,,,,,65549,TCP,1887 → 36619 [ACK] Seq=84698987 Ack=679 Win=512 Len=65483 TSval=3720043245 TSecr=3720030240
6079,Apr 21, 2024 13:26:03.986413000 EDT,127.0.0.1,127.0.0.1,1887,36619,,,,,65549,TCP,1887 → 36619 [ACK] Seq=84764470 Ack=679 Win=512 Len=65483 TSval=3720043245 TSecr=3720030240
6080,Apr 21, 2024 13:26:03.986438000 EDT,127.0.0.1,127.0.0.1,1887,36619,,,,,65549,TCP,1887 → 36619 [ACK] Seq=84829953 Ack=679 Win=512 Len=65483 TSval=3720043245 TSecr=3720030240
6081,Apr 21, 2024 13:26:03.986463000 EDT,127.0.0.1,127.0.0.1,1887,36619,,,,,65549,TCP,1887 → 36619 [ACK] Seq=84895436 Ack=679 Win=512 Len=65483 TSval=3720043245 TSecr=3720030240
6082,Apr 21, 2024 13:26:03.986484000 EDT,127.0.0.1,127.0.0.1,1887,36619,,,,,41700,TCP,1887 → 36619 [PSH, ACK] Seq=84960919 Ack=679 Win=512 Len=41634 TSval=3720043245 TSecr=3720030240
6083,Apr 21, 2024 13:26:03.986586000 EDT,127.0.0.1,127.0.0.1,1887,54727,,,,,65549,TCP,1887 → 54727 [ACK] Seq=81502448 Ack=659 Win=512 Len=65483 TSval=3720043245 TSecr=3720030237
6084,Apr 21, 2024 13:26:03.986615000 EDT,127.0.0.1,127.0.0.1,1887,54727,,,,,65549,TCP,1887 → 54727 [ACK] Seq=81567931 Ack=659 Win=512 Len=65483 TSval=3720043245 TSecr=3720030237
6085,Apr 21, 2024 13:26:03.986640000 EDT,127.0.0.1,127.0.0.1,1887,54727,,,,,65549,TCP,1887 → 54727 [ACK] Seq=81633414 Ack=659 Win=512 Len=65483 TSval=3720043245 TSecr=3720030237
6086,Apr 21, 2024 13:26:04.933861000 EDT,127.0.0.1,127.0.0.1,47771,1887,,,,,65549,TCP,[TCP Previous segment not captured] 47771 → 1887 [ACK] Seq=64504218 Ack=634 Win=512 Len=65483 TSval=3720044192 TSecr=3720030235
6087,Apr 21, 2024 13:26:04.977422000 EDT,127.0.0.1,127.0.0.1,47771,1887,,,,,65549,TCP,47771 → 1887 [ACK] Seq=64569701 Ack=634 Win=512 Len=65483 TSval=3720044236 TSecr=3720044236
6088,Apr 21, 2024 13:26:04.977515000 EDT,127.0.0.1,127.0.0.1,47771,1887,,,,,65549,TCP,47771 → 1887 [ACK] Seq=64635184 Ack=634 Win=512 Len=65483 TSval=3720044236 TSecr=3720044236
6089,Apr 21, 2024 13:26:04.977565000 EDT,127.0.0.1,127.0.0.1,47771,1887,,,,,65549,TCP,47771 → 1887 [ACK] Seq=64700667 Ack=634 Win=512 Len=65483 TSval=3720044236 TSecr=3720044236
6090,Apr 21, 2024 13:26:04.977606000 EDT,127.0.0.1,127.0.0.1,47771,1887,,,,,65549,TCP,47771 → 1887 [ACK] Seq=64766150 Ack=634 Win=512 Len=65483 TSval=3720044236 TSecr=3720044236
6091,Apr 21, 2024 13:26:04.977643000 EDT,127.0.0.1,127.0.0.1,47771,1887,,,,,65549,TCP,47771 → 1887 [ACK] Seq=64831633 Ack=634 Win=512 Len=65483 TSval=3720044236 TSecr=3720044236
6092,Apr 21, 2024 13:26:04.977676000 EDT,127.0.0.1,127.0.0.1,47771,1887,,,,,65549,TCP,47771 → 1887 [ACK] Seq=64897116 Ack=634 Win=512 Len=65483 TSval=3720044236 TSecr=3720044236
6093,Apr 21, 2024 13:26:04.977704000 EDT,127.0.0.1,127.0.0.1,47771,1887,,,,,41700,TCP,47771 → 1887 [PSH, ACK] Seq=64962599 Ack=634 Win=512 Len=41634 TSval=3720044236 TSecr=3720044236
6094,Apr 21, 2024 13:26:04.978100000 EDT,127.0.0.1,127.0.0.1,1887,37261,,,,,65549,TCP,1887 → 37261 [ACK] Seq=18500558 Ack=151 Win=512 Len=65483 TSval=3720044236 TSecr=3720024237
6095,Apr 21, 2024 13:26:04.978133000 EDT,127.0.0.1,127.0.0.1,1887,37261,,,,,65549,TCP,1887 → 37261 [ACK] Seq=18566041 Ack=151 Win=512 Len=65483 TSval=3720044236 TSecr=3720024237
6096,Apr 21, 2024 13:26:04.978157000 EDT,127.0.0.1,127.0.0.1,1887,37261,,,,,65549,TCP,1887 → 37261 [ACK] Seq=18631524 Ack=151 Win=512 Len=65483 TSval=3720044236 TSecr=3720024237
6097,Apr 21, 2024 13:26:04.978181000 EDT,127.0.0.1,127.0.0.1,1887,37261,,,,,65549,TCP,1887 → 37261 [ACK] Seq=18697007 Ack=151 Win=512 Len=65483 TSval=3720044237 TSecr=3720024237
6098,Apr 21, 2024 13:26:04.978206000 EDT,127.0.0.1,127.0.0.1,1887,37261,,,,,65549,TCP,1887 → 37261 [ACK] Seq=18762490 Ack=151 Win=512 Len=65483 TSval=3720044237 TSecr=3720024237
6099,Apr 21, 2024 13:26:04.978231000 EDT,127.0.0.1,127.0.0.1,1887,37261,,,,,65549,TCP,1887 → 37261 [ACK] Seq=18827973 Ack=151 Win=512 Len=65483 TSval=3720044237 TSecr=3720024237
6100,Apr 21, 2024 13:26:04.978256000 EDT,127.0.0.1,127.0.0.1,1887,37261,,,,,65549,TCP,1887 → 37261 [ACK] Seq=18893456 Ack=151 Win=512 Len=65483 TSval=3720044237 TSecr=3720024237
6101,Apr 21, 2024 13:26:04.978276000 EDT,127.0.0.1,127.0.0.1,1887,37261,,,,,41700,TCP,1887 → 37261 [PSH, ACK] Seq=18958939 Ack=151 Win=512 Len=41634 TSval=3720044237 TSecr=3720024237
6102,Apr 21, 2024 13:26:04.978371000 EDT,127.0.0.1,127.0.0.1,1887,34935,,,,,65549,TCP,[TCP Previous segment not captured] 1887 → 34935 [ACK] Seq=32500978 Ack=263 Win=512 Len=65483 TSval=3720044237 TSecr=3720034239
6103,Apr 21, 2024 13:26:04.978404000 EDT,127.0.0.1,127.0.0.1,1887,34935,,,,,65549,TCP,1887 → 34935 [ACK] Seq=32566461 Ack=263 Win=512 Len=65483 TSval=3720044237 TSecr=3720034239
6104,Apr 21, 2024 13:26:04.978430000 EDT,127.0.0.1,127.0.0.1,1887,34935,,,,,65549,TCP,1887 → 34935 [ACK] Seq=32631944 Ack=263 Win=512 Len=65483 TSval=3720044237 TSecr=3720034239
6105,Apr 21, 2024 13:26:12.933811000 EDT,127.0.0.1,127.0.0.1,47771,1887,,,,,65549,TCP,47771 → 1887 [ACK] Seq=65004233 Ack=638 Win=512 Len=65483 TSval=3720052192 TSecr=3720044237
6106,Apr 21, 2024 13:26:12.977395000 EDT,127.0.0.1,127.0.0.1,47771,1887,,,,,65549,TCP,47771 → 1887 [ACK] Seq=65069716 Ack=638 Win=512 Len=65483 TSval=3720052236 TSecr=3720052236
6107,Apr 21, 2024 13:26:12.977475000 EDT,127.0.0.1,127.0.0.1,47771,1887,,,,,65549,TCP,47771 → 1887 [ACK] Seq=65135199 Ack=638 Win=512 Len=65483 TSval=3720052236 TSecr=3720052236
6108,Apr 21, 2024 13:26:12.977529000 EDT,127.0.0.1,127.0.0.1,47771,1887,,,,,65549,TCP,47771 → 1887 [ACK] Seq=65200682 Ack=638 Win=512 Len=65483 TSval=3720052236 TSecr=3720052236
6109,Apr 21, 2024 13:26:12.977574000 EDT,127.0.0.1,127.0.0.1,47771,1887,,,,,65549,TCP,47771 → 1887 [ACK] Seq=65266165 Ack=638 Win=512 Len=65483 TSval=3720052236 TSecr=3720052236
6110,Apr 21, 2024 13:26:12.977613000 EDT,127.0.0.1,127.0.0.1,47771,1887,,,,,65549,TCP,47771 → 1887 [ACK] Seq=65331648 Ack=638 Win=512 Len=65483 TSval=3720052236 TSecr=3720052236
6111,Apr 21, 2024 13:26:12.977647000 EDT,127.0.0.1,127.0.0.1,47771,1887,,,,,65549,TCP,47771 → 1887 [ACK] Seq=65397131 Ack=638 Win=512 Len=65483 TSval=3720052236 TSecr=3720052236
6112,Apr 21, 2024 13:26:12.977675000 EDT,127.0.0.1,127.0.0.1,47771,1887,,,,,41700,TCP,47771 → 1887 [PSH, ACK] Seq=65462614 Ack=638 Win=512 Len=41634 TSval=3720052236 TSecr=3720052236
6113,Apr 21, 2024 13:26:12.978599000 EDT,127.0.0.1,127.0.0.1,1887,56173,,,,,65549,TCP,1887 → 56173 [ACK] Seq=33501008 Ack=271 Win=512 Len=65483 TSval=3720052237 TSecr=3720030238
6114,Apr 21, 2024 13:26:12.978632000 EDT,127.0.0.1,127.0.0.1,1887,56173,,,,,65549,TCP,1887 → 56173 [ACK] Seq=33566491 Ack=271 Win=512 Len=65483 TSval=3720052237 TSecr=3720030238
6115,Apr 21, 2024 13:26:12.978657000 EDT,127.0.0.1,127.0.0.1,1887,56173,,,,,65549,TCP,1887 → 56173 [ACK] Seq=33631974 Ack=271 Win=512 Len=65483 TSval=3720052237 TSecr=3720030238
6116,Apr 21, 2024 13:26:12.978681000 EDT,127.0.0.1,127.0.0.1,1887,56173,,,,,65549,TCP,1887 → 56173 [ACK] Seq=33697457 Ack=271 Win=512 Len=65483 TSval=3720052237 TSecr=3720030238
6117,Apr 21, 2024 13:26:12.978704000 EDT,127.0.0.1,127.0.0.1,1887,56173,,,,,65549,TCP,1887 → 56173 [ACK] Seq=33762940 Ack=271 Win=512 Len=65483 TSval=3720052237 TSecr=3720030238
6118,Apr 21, 2024 13:26:12.978726000 EDT,127.0.0.1,127.0.0.1,1887,56173,,,,,65549,TCP,1887 → 56173 [ACK] Seq=33828423 Ack=271 Win=512 Len=65483 TSval=3720052237 TSecr=3720030238
6119,Apr 21, 2024 13:26:12.978753000 EDT,127.0.0.1,127.0.0.1,1887,56173,,,,,65549,TCP,1887 → 56173 [ACK] Seq=33893906 Ack=271 Win=512 Len=65483 TSval=3720052237 TSecr=3720030238
6120,Apr 21, 2024 13:26:12.978774000 EDT,127.0.0.1,127.0.0.1,1887,56173,,,,,41700,TCP,1887 → 56173 [PSH, ACK] Seq=33959389 Ack=271 Win=512 Len=41634 TSval=3720052237 TSecr=3720030238
6121,Apr 21, 2024 13:26:12.978863000 EDT,127.0.0.1,127.0.0.1,1887,36619,,,,,65549,TCP,[TCP Previous segment not captured] 1887 → 36619 [ACK] Seq=85502568 Ack=687 Win=512 Len=65483 TSval=3720052237 TSecr=3720044239
6122,Apr 21, 2024 13:26:12.978891000 EDT,127.0.0.1,127.0.0.1,1887,36619,,,,,65549,TCP,1887 → 36619 [ACK] Seq=85568051 Ack=687 Win=512 Len=65483 TSval=3720052237 TSecr=3720044239
6123,Apr 21, 2024 13:26:12.978915000 EDT,127.0.0.1,127.0.0.1,1887,36619,,,,,65549,TCP,1887 → 36619 [ACK] Seq=85633534 Ack=687 Win=512 Len=65483 TSval=3720052237 TSecr=3720044239
6124,Apr 21, 2024 13:26:14.929685000 EDT,127.0.0.1,127.0.0.1,53923,1887,,,,,65549,TCP,53923 → 1887 [ACK] Seq=34503282 Ack=380 Win=512 Len=65483 TSval=3720054188 TSecr=3720030229
6125,Apr 21, 2024 13:26:14.938189000 EDT,127.0.0.1,127.0.0.1,55009,1887,,,,,65549,TCP,55009 → 1887 [ACK] Seq=28501685 Ack=247 Win=512 Len=65483 TSval=3720054197 TSecr=3720043245
6126,Apr 21, 2024 13:26:14.973349000 EDT,127.0.0.1,127.0.0.1,53923,1887,,,,,65549,TCP,53923 → 1887 [ACK] Seq=34568765 Ack=380 Win=512 Len=65483 TSval=3720054232 TSecr=3720054232
6127,Apr 21, 2024 13:26:14.973426000 EDT,127.0.0.1,127.0.0.1,53923,1887,,,,,65549,TCP,53923 → 1887 [ACK] Seq=34634248 Ack=380 Win=512 Len=65483 TSval=3720054232 TSecr=3720054232
6128,Apr 21, 2024 13:26:14.973477000 EDT,127.0.0.1,127.0.0.1,53923,1887,,,,,65549,TCP,53923 → 1887 [ACK] Seq=34699731 Ack=380 Win=512 Len=65483 TSval=3720054232 TSecr=3720054232
6129,Apr 21, 2024 13:26:14.973523000 EDT,127.0.0.1,127.0.0.1,53923,1887,,,,,65549,TCP,53923 → 1887 [ACK] Seq=34765214 Ack=380 Win=512 Len=65483 TSval=3720054232 TSecr=3720054232
6130,Apr 21, 2024 13:26:14.973562000 EDT,127.0.0.1,127.0.0.1,53923,1887,,,,,65549,TCP,53923 → 1887 [ACK] Seq=34830697 Ack=380 Win=512 Len=65483 TSval=3720054232 TSecr=3720054232
6131,Apr 21, 2024 13:26:14.973599000 EDT,127.0.0.1,127.0.0.1,53923,1887,,,,,65549,TCP,53923 → 1887 [ACK] Seq=34896180 Ack=380 Win=512 Len=65483 TSval=3720054232 TSecr=3720054232
6132,Apr 21, 2024 13:26:14.973631000 EDT,127.0.0.1,127.0.0.1,53923,1887,,,,,41700,TCP,53923 → 1887 [PSH, ACK] Seq=34961663 Ack=380 Win=512 Len=41634 TSval=3720054232 TSecr=3720054232
6133,Apr 21, 2024 13:26:14.973872000 EDT,127.0.0.1,127.0.0.1,1887,56173,,,,,65549,TCP,1887 → 56173 [ACK] Seq=34001023 Ack=275 Win=512 Len=65483 TSval=3720054232 TSecr=3720052240
6134,Apr 21, 2024 13:26:14.973903000 EDT,127.0.0.1,127.0.0.1,1887,56173,,,,,65549,TCP,1887 → 56173 [ACK] Seq=34066506 Ack=275 Win=512 Len=65483 TSval=3720054232 TSecr=3720052240
6135,Apr 21, 2024 13:26:14.973928000 EDT,127.0.0.1,127.0.0.1,1887,56173,,,,,65549,TCP,1887 → 56173 [ACK] Seq=34131989 Ack=275 Win=512 Len=65483 TSval=3720054232 TSecr=3720052240
6136,Apr 21, 2024 13:26:14.973953000 EDT,127.0.0.1,127.0.0.1,1887,56173,,,,,65549,TCP,1887 → 56173 [ACK] Seq=34197472 Ack=275 Win=512 Len=65483 TSval=3720054232 TSecr=3720052240
6137,Apr 21, 2024 13:26:14.973981000 EDT,127.0.0.1,127.0.0.1,1887,56173,,,,,65549,TCP,1887 → 56173 [ACK] Seq=34262955 Ack=275 Win=512 Len=65483 TSval=3720054232 TSecr=3720052240
6138,Apr 21, 2024 13:26:14.974008000 EDT,127.0.0.1,127.0.0.1,1887,56173,,,,,65549,TCP,1887 → 56173 [ACK] Seq=34328438 Ack=275 Win=512 Len=65483 TSval=3720054232 TSecr=3720052240
6139,Apr 21, 2024 13:26:14.974033000 EDT,127.0.0.1,127.0.0.1,1887,56173,,,,,65549,TCP,1887 → 56173 [ACK] Seq=34393921 Ack=275 Win=512 Len=65483 TSval=3720054232 TSecr=3720052240
6140,Apr 21, 2024 13:26:14.974056000 EDT,127.0.0.1,127.0.0.1,1887,56173,,,,,41700,TCP,1887 → 56173 [PSH, ACK] Seq=34459404 Ack=275 Win=512 Len=41634 TSval=3720054232 TSecr=3720052240
6141,Apr 21, 2024 13:26:14.974151000 EDT,127.0.0.1,127.0.0.1,1887,54727,,,,,65549,TCP,[TCP Previous segment not captured] 1887 → 54727 [ACK] Seq=82502478 Ack=667 Win=512 Len=65483 TSval=3720054232 TSecr=3720044245
6142,Apr 21, 2024 13:26:14.974182000 EDT,127.0.0.1,127.0.0.1,1887,54727,,,,,65549,TCP,1887 → 54727 [ACK] Seq=82567961 Ack=667 Win=512 Len=65483 TSval=3720054233 TSecr=3720044245
6143,Apr 21, 2024 13:26:14.974208000 EDT,127.0.0.1,127.0.0.1,1887,54727,,,,,65549,TCP,1887 → 54727 [ACK] Seq=82633444 Ack=667 Win=512 Len=65483 TSval=3720054233 TSecr=3720044245
6144,Apr 21, 2024 13:26:14.974232000 EDT,127.0.0.1,127.0.0.1,1887,54727,,,,,65549,TCP,1887 → 54727 [ACK] Seq=82698927 Ack=667 Win=512 Len=65483 TSval=3720054233 TSecr=3720044245
6145,Apr 21, 2024 13:26:14.974256000 EDT,127.0.0.1,127.0.0.1,1887,54727,,,,,65549,TCP,1887 → 54727 [ACK] Seq=82764410 Ack=667 Win=512 Len=65483 TSval=3720054233 TSecr=3720044245
6146,Apr 21, 2024 13:26:14.974280000 EDT,127.0.0.1,127.0.0.1,1887,54727,,,,,65549,TCP,1887 → 54727 [ACK] Seq=82829893 Ack=667 Win=512 Len=65483 TSval=3720054233 TSecr=3720044245
6147,Apr 21, 2024 13:26:14.974305000 EDT,127.0.0.1,127.0.0.1,1887,54727,,,,,65549,TCP,1887 → 54727 [ACK] Seq=82895376 Ack=667 Win=512 Len=65483 TSval=3720054233 TSecr=3720044245
6148,Apr 21, 2024 13:26:14.974322000 EDT,127.0.0.1,127.0.0.1,1887,54727,,,,,41700,TCP,1887 → 54727 [PSH, ACK] Seq=82960859 Ack=667 Win=512 Len=41634 TSval=3720054233 TSecr=3720044245
6149,Apr 21, 2024 13:26:14.974398000 EDT,127.0.0.1,127.0.0.1,1887,49997,,,,,65549,TCP,[TCP Previous segment not captured] 1887 → 49997 [ACK] Seq=112003363 Ack=899 Win=512 Len=65483 TSval=3720054233 TSecr=3720052239
6150,Apr 21, 2024 13:26:14.974429000 EDT,127.0.0.1,127.0.0.1,1887,49997,,,,,65549,TCP,1887 → 49997 [ACK] Seq=112068846 Ack=899 Win=512 Len=65483 TSval=3720054233 TSecr=3720052239
6151,Apr 21, 2024 13:26:14.974467000 EDT,127.0.0.1,127.0.0.1,1887,49997,,,,,65549,TCP,[TCP Previous segment not captured] 1887 → 49997 [ACK] Seq=112199812 Ack=899 Win=512 Len=65483 TSval=3720054233 TSecr=3720052239
6152,Apr 21, 2024 13:26:14.981376000 EDT,127.0.0.1,127.0.0.1,55009,1887,,,,,65549,TCP,55009 → 1887 [ACK] Seq=28567168 Ack=247 Win=512 Len=65483 TSval=3720054240 TSecr=3720054240
6153,Apr 21, 2024 13:26:14.981446000 EDT,127.0.0.1,127.0.0.1,55009,1887,,,,,65549,TCP,55009 → 1887 [ACK] Seq=28632651 Ack=247 Win=512 Len=65483 TSval=3720054240 TSecr=3720054240
6154,Apr 21, 2024 13:26:14.981494000 EDT,127.0.0.1,127.0.0.1,55009,1887,,,,,65549,TCP,55009 → 1887 [ACK] Seq=28698134 Ack=247 Win=512 Len=65483 TSval=3720054240 TSecr=3720054240
6155,Apr 21, 2024 13:26:14.981536000 EDT,127.0.0.1,127.0.0.1,55009,1887,,,,,65549,TCP,55009 → 1887 [ACK] Seq=28763617 Ack=247 Win=512 Len=65483 TSval=3720054240 TSecr=3720054240
6156,Apr 21, 2024 13:26:14.981571000 EDT,127.0.0.1,127.0.0.1,55009,1887,,,,,65549,TCP,55009 → 1887 [ACK] Seq=28829100 Ack=247 Win=512 Len=65483 TSval=3720054240 TSecr=3720054240
6157,Apr 21, 2024 13:26:14.981603000 EDT,127.0.0.1,127.0.0.1,55009,1887,,,,,65549,TCP,55009 → 1887 [ACK] Seq=28894583 Ack=247 Win=512 Len=65483 TSval=3720054240 TSecr=3720054240
6158,Apr 21, 2024 13:26:14.981630000 EDT,127.0.0.1,127.0.0.1,55009,1887,,,,,41700,TCP,55009 → 1887 [PSH, ACK] Seq=28960066 Ack=247 Win=512 Len=41634 TSval=3720054240 TSecr=3720054240
6159,Apr 21, 2024 13:26:14.981895000 EDT,127.0.0.1,127.0.0.1,1887,57115,,,,,65549,TCP,[TCP Previous segment not captured] 1887 → 57115 [ACK] Seq=50001503 Ack=403 Win=512 Len=65483 TSval=3720054240 TSecr=3720044243
6160,Apr 21, 2024 13:26:14.981927000 EDT,127.0.0.1,127.0.0.1,1887,57115,,,,,65549,TCP,1887 → 57115 [ACK] Seq=50066986 Ack=403 Win=512 Len=65483 TSval=3720054240 TSecr=3720044243
6161,Apr 21, 2024 13:26:14.981951000 EDT,127.0.0.1,127.0.0.1,1887,57115,,,,,65549,TCP,1887 → 57115 [ACK] Seq=50132469 Ack=403 Win=512 Len=65483 TSval=3720054240 TSecr=3720044243
6162,Apr 21, 2024 13:26:14.981975000 EDT,127.0.0.1,127.0.0.1,1887,57115,,,,,65549,TCP,1887 → 57115 [ACK] Seq=50197952 Ack=403 Win=512 Len=65483 TSval=3720054240 TSecr=3720044243
6163,Apr 21, 2024 13:26:14.981999000 EDT,127.0.0.1,127.0.0.1,1887,57115,,,,,65549,TCP,1887 → 57115 [ACK] Seq=50263435 Ack=403 Win=512 Len=65483 TSval=3720054240 TSecr=3720044243
6164,Apr 21, 2024 13:26:14.982022000 EDT,127.0.0.1,127.0.0.1,1887,57115,,,,,65549,TCP,1887 → 57115 [ACK] Seq=50328918 Ack=403 Win=512 Len=65483 TSval=3720054240 TSecr=3720044243
6165,Apr 21, 2024 13:26:14.982050000 EDT,127.0.0.1,127.0.0.1,1887,57115,,,,,65549,TCP,1887 → 57115 [ACK] Seq=50394401 Ack=403 Win=512 Len=65483 TSval=3720054240 TSecr=3720044243
6166,Apr 21, 2024 13:26:14.982069000 EDT,127.0.0.1,127.0.0.1,1887,57115,,,,,41700,TCP,1887 → 57115 [PSH, ACK] Seq=50459884 Ack=403 Win=512 Len=41634 TSval=3720054240 TSecr=3720044243
6167,Apr 21, 2024 13:26:14.982159000 EDT,127.0.0.1,127.0.0.1,1887,60767,,,,,65549,TCP,[TCP Previous segment not captured] 1887 → 60767 [ACK] Seq=15000453 Ack=123 Win=512 Len=65483 TSval=3720054240 TSecr=3720029238
6168,Apr 21, 2024 13:26:14.982190000 EDT,127.0.0.1,127.0.0.1,1887,60767,,,,,65549,TCP,1887 → 60767 [ACK] Seq=15065936 Ack=123 Win=512 Len=65483 TSval=3720054241 TSecr=3720029238
6169,Apr 21, 2024 13:26:14.982214000 EDT,127.0.0.1,127.0.0.1,1887,60767,,,,,65549,TCP,1887 → 60767 [ACK] Seq=15131419 Ack=123 Win=512 Len=65483 TSval=3720054241 TSecr=3720029238
6170,Apr 21, 2024 13:26:14.982253000 EDT,127.0.0.1,127.0.0.1,1887,60767,,,,,65549,TCP,[TCP Previous segment not captured] 1887 → 60767 [ACK] Seq=15262385 Ack=123 Win=512 Len=65483 TSval=3720054241 TSecr=3720029238
6171,Apr 21, 2024 13:26:14.982376000 EDT,127.0.0.1,127.0.0.1,1887,36619,,,,,65549,TCP,[TCP Previous segment not captured] 1887 → 36619 [ACK] Seq=86002583 Ack=691 Win=512 Len=65483 TSval=3720054241 TSecr=3720052241
6172,Apr 21, 2024 13:26:14.982468000 EDT,127.0.0.1,127.0.0.1,1887,36619,,,,,65549,TCP,[TCP Previous segment not captured] 1887 → 36619 [ACK] Seq=86329998 Ack=691 Win=512 Len=65483 TSval=3720054241 TSecr=3720052241
6173,Apr 21, 2024 13:26:16.929157000 EDT,127.0.0.1,127.0.0.1,53923,1887,,,,,65549,TCP,53923 → 1887 [ACK] Seq=35003297 Ack=384 Win=512 Len=65483 TSval=3720056187 TSecr=3720054233
6174,Apr 21, 2024 13:26:16.929635000 EDT,127.0.0.1,127.0.0.1,55009,1887,,,,,65549,TCP,55009 → 1887 [ACK] Seq=29001700 Ack=251 Win=512 Len=65483 TSval=3720056188 TSecr=3720054241
