frame.number,frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,icmp.type,icmp.code,frame.len,_ws.col.protocol,_ws.col.info
27,Apr 21, 2024 13:13:04.850224000 EDT,127.0.0.1,127.0.0.1,47979,1887,,,,,41700,TCP,47979 → 1887 [PSH, ACK] Seq=958397 Ack=1 Win=512 Len=41634 TSval=3719264109 TSecr=3719264109
28,Apr 21, 2024 13:13:04.850382000 EDT,127.0.0.1,127.0.0.1,47979,1887,,,,,65549,TCP,47979 → 1887 [ACK] Seq=1000031 Ack=1 Win=512 Len=65483 TSval=3719264109 TSecr=3719264109
29,Apr 21, 2024 13:13:04.850447000 EDT,127.0.0.1,127.0.0.1,47979,1887,,,,,65549,TCP,47979 → 1887 [ACK] Seq=1065514 Ack=1 Win=512 Len=65483 TSval=3719264109 TSecr=3719264109
30,Apr 21, 2024 13:13:04.850499000 EDT,127.0.0.1,127.0.0.1,47979,1887,,,,,65549,TCP,47979 → 1887 [ACK] Seq=1130997 Ack=1 Win=512 Len=65483 TSval=3719264109 TSecr=3719264109
31,Apr 21, 2024 13:13:04.851044000 EDT,127.0.0.1,127.0.0.1,1887,49997,,,,,32834,TCP,1887 → 49997 [ACK] Seq=1 Ack=1 Win=512 Len=32768 TSval=3719264109 TSecr=3718906698
32,Apr 21, 2024 13:13:04.851066000 EDT,127.0.0.1,127.0.0.1,1887,49997,,,,,32834,TCP,1887 → 49997 [PSH, ACK] Seq=32769 Ack=1 Win=512 Len=32768 TSval=3719264109 TSecr=3718906698
33,Apr 21, 2024 13:13:04.851223000 EDT,127.0.0.1,127.0.0.1,1887,49997,,,,,32834,TCP,1887 → 49997 [ACK] Seq=65537 Ack=1 Win=512 Len=32768 TSval=3719264110 TSecr=3719264110
34,Apr 21, 2024 13:13:04.851227000 EDT,127.0.0.1,127.0.0.1,1887,49997,,,,,32834,TCP,1887 → 49997 [PSH, ACK] Seq=98305 Ack=1 Win=512 Len=32768 TSval=3719264110 TSecr=3719264110
35,Apr 21, 2024 13:13:04.851338000 EDT,127.0.0.1,127.0.0.1,1887,49997,,,,,32834,TCP,1887 → 49997 [ACK] Seq=131073 Ack=1 Win=512 Len=32768 TSval=3719264110 TSecr=3719264110
36,Apr 21, 2024 13:13:04.851342000 EDT,127.0.0.1,127.0.0.1,1887,49997,,,,,32834,TCP,1887 → 49997 [PSH, ACK] Seq=163841 Ack=1 Win=512 Len=32768 TSval=3719264110 TSecr=3719264110
